SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
2,2,2,2,2,3,1,2,3,1,2.89311668774523,26
2,2,2,4,3,2,3,2,3,3,1.56814053638632,26
1,3,1,4,3,2,1,1,3,3,2.86388738741318,26
1,2,2,2,1,3,4,3,1,2,.39346093358655,26
1,2,2,4,4,2,2,1,3,3,2.90777333219425,26
1,2,2,3,3,2,2,2,4,3,3.00278655832762,26
1,2,2,3,3,2,3,2,3,3,2.87197853705132,26
2,2,2,4,2,1,1,3,4,2,2.59941363860599,26
1,2,2,4,3,1,2,1,3,4,2.90777333219425,26
1,2,2,1,1,1,1,1,1,1,2.7125877450019,26
2,2,2,1,5,5,3,1,1,1,.307365595554902,26
1,2,2,4,4,1,4,2,4,3,2.90777333219425,26
2,2,2,4,5,2,5,1,5,3,2.89311668774523,26
1,3,1,3,3,2,4,2,3,4,2.43441174105925,26
1,2,2,4,5,5,5,2,5,4,.616015989459681,26
2,2,2,3,5,1,5,5,5,5,2.89311668774523,26
2,2,2,4,4,1,2,5,3,2,2.89311668774523,26
1,2,3,3,2,3,4,1,2,3,2.26464650834721,26
1,2,2,3,5,2,2,2,3,2,2.87197853705132,26
2,2,2,4,4,1,1,1,3,4,.311629898993768,26
2,2,2,3,3,3,2,2,2,2,.312541557254552,26
2,2,2,3,2,3,3,3,2,2,.793684984955554,26
1,2,2,3,5,2,3,3,1,1,2.87197853705132,26
2,2,2,3,3,1,1,1,2,2,.34522512724892,26
2,2,2,2,3,3,4,4,5,4,1.29723857803023,26
2,2,2,2,2,2,2,5,2,2,3.00278655832762,26
2,2,2,4,5,1,3,2,5,3,.958050863777141,26
1,2,2,5,5,5,5,5,5,5,.412051850953109,26
2,2,2,4,3,1,1,1,3,3,.868502137423017,26
2,2,2,4,4,1,1,1,4,4,2.89311668774523,26
2,3,1,4,3,1,1,1,3,3,2.89311668774523,26
2,3,1,4,4,1,2,3,3,3,2.89311668774523,26
1,2,2,4,4,1,1,5,5,4,2.90777333219425,26
2,2,2,4,4,2,3,2,4,4,.689903599684643,26
1,2,3,3,3,2,4,1,2,2,1.40441263599112,26
2,2,2,4,4,1,1,1,4,4,3.00278655832762,26
2,2,2,3,2,1,1,1,1,1,1.10788699855184,26
2,2,2,3,3,2,2,2,2,3,.312146068089056,26
2,2,2,3,3,3,3,3,3,3,1.90818450350884,26
2,2,2,3,4,2,2,2,4,1,1.22534345914654,26
2,2,2,5,5,1,5,5,5,5,2.89311668774523,26
2,2,2,4,5,1,2,1,3,3,3.00278655832762,26
2,2,2,2,4,3,2,1,2,2,1.36402190079335,26
1,2,2,3,3,3,3,3,3,3,.436615549373974,26
2,2,2,3,3,2,5,4,1,5,2.89311668774523,26
2,2,2,5,3,1,2,2,3,5,1.34787084900641,26
2,2,2,2,2,3,2,2,2,2,.311629898993768,26
1,2,2,4,3,2,3,2,3,3,1.40569570527771,26
1,2,3,4,3,2,2,2,3,2,1.76156109267526,26
2,3,1,4,4,1,2,1,4,3,3.00278655832762,26
2,2,2,4,4,1,5,1,5,2,1.60358954902831,26
1,2,3,4,5,2,2,2,3,4,2.82376467939038,26
1,3,1,4,2,2,2,3,3,5,3.00278655832762,26
1,2,3,4,4,1,3,2,3,3,2.25401771228384,26
1,3,1,4,4,1,4,5,4,4,1.07406076125242,26
1,3,1,3,1,3,4,1,2,2,1.67063896865084,26
1,3,1,4,3,3,4,1,2,1,2.24628240982797,26
2,2,2,2,2,2,2,3,2,2,1.2098705940905,26
2,2,3,3,3,2,2,2,3,2,1.22932926790505,26
2,2,3,3,3,1,3,2,3,2,.30202838844227,26
2,2,3,4,2,1,1,1,3,4,1.17230304036312,26
2,2,3,2,5,5,3,3,2,2,1.47760443297532,26
2,2,2,3,4,1,1,1,4,2,.554256965841768,26
2,2,2,3,3,1,2,1,3,3,1.26492864027742,26
1,2,3,2,2,3,3,1,2,2,.935905451858526,26
2,3,1,4,4,2,1,1,1,1,2.89311668774523,26
2,3,1,4,4,1,1,2,4,4,2.89311668774523,26
